Date,Transaction Description,Category,Amount,Type
2020-04-23,Water services - City of Toronto,Utilities,849.54,Expense
2020-04-01,General travel transaction,Travel,1341.27,Expense
2020-04-18,General health & fitness transaction,Health & Fitness,1603.18,Expense
2020-04-30,General travel transaction,Travel,1853.77,Expense
2020-04-25,Spotify Premium subscription,Entertainment,1750.23,Expense
2020-04-26,Drinks at local pub,Food & Drink,1938.3,Expense
2020-04-17,Freelance payment - Upwork,Salary,1729.04,Expense
2020-04-29,Mobile phone plan - Bell Canada,Utilities,764.16,Expense
2020-04-27,Netflix subscription,Entertainment,1730.65,Expense
2020-04-05,Mobile phone plan - Bell Canada,Utilities,1449.47,Expense
2020-04-06,Amazon purchase,Shopping,388.92,Expense
2020-05-01,General travel transaction,Travel,851.78,Expense
2020-05-20,Condo rent transfer,Rent,1759.75,Expense
2020-05-31,General travel transaction,Travel,1015.76,Expense
2020-05-06,Water services - City of Toronto,Utilities,146.36,Expense
2020-05-28,Housing rental fee,Rent,1878.47,Expense
2020-05-03,Freelance payment - Upwork,Salary,318.05,Expense
2020-05-15,General travel transaction,Travel,919.88,Expense
2020-05-27,Takeout from Shake Shack,Food & Drink,1339.05,Expense
2020-05-06,Gas bill - Enbridge,Utilities,123.19,Expense
2020-05-19,General travel transaction,Travel,273.59,Expense
2020-05-13,General health & fitness transaction,Health & Fitness,1870.07,Expense
2020-05-05,General health & fitness transaction,Health & Fitness,123.76,Expense
2020-05-12,Electronics from Best Buy,Shopping,1318.17,Expense
2020-05-17,Condo rent transfer,Rent,155.79,Expense
2020-05-03,Drinks at local pub,Food & Drink,1162.57,Expense
2020-05-25,General travel transaction,Travel,1227.24,Expense
2020-05-30,Mobile phone plan - Bell Canada,Utilities,551.97,Expense
2020-05-31,General health & fitness transaction,Health & Fitness,415.16,Expense
2020-05-21,Mobile phone plan - Bell Canada,Utilities,881.99,Expense
2020-05-16,Housing rental fee,Rent,28.54,Expense
2020-06-08,Gas bill - Enbridge,Utilities,1095.72,Expense
2020-06-18,Apartment lease payment,Rent,771.26,Expense
2020-06-30,General travel transaction,Travel,98.33,Expense
2020-06-05,Internet bill - Rogers,Utilities,1277.86,Expense
2020-06-22,General travel transaction,Travel,86.13,Expense
2020-06-10,Netflix subscription,Entertainment,1367.31,Expense
2020-06-01,Dinner at Carbone (fine dining),Food & Drink,193.67,Expense
2020-06-10,General health & fitness transaction,Health & Fitness,1562.43,Expense
2020-06-12,Mobile phone plan - Bell Canada,Utilities,1764.02,Expense
2020-06-07,Lunch at Chipotle,Food & Drink,232.63,Expense
2020-06-19,Home goods at IKEA,Shopping,663.24,Expense
2020-06-09,Gas bill - Enbridge,Utilities,865.28,Expense
2020-06-11,Amazon purchase,Shopping,1947.94,Expense
2020-06-21,General health & fitness transaction,Health & Fitness,1879.08,Expense
2020-06-11,Movie night at Cineplex,Entertainment,1730.57,Expense
2020-06-06,Paycheck from Amazon,Salary,1107.84,Expense
2020-06-30,Apartment lease payment,Rent,776.54,Expense
2020-06-21,General travel transaction,Travel,708.78,Expense
2020-06-24,General health & fitness transaction,Health & Fitness,1459.8,Expense
2020-06-15,Spotify Premium subscription,Entertainment,540.94,Expense
2020-07-29,Shoes from Nike Store,Shopping,1662.83,Expense
2020-07-28,Housing rental fee,Rent,918.36,Expense
2020-07-22,Netflix subscription,Entertainment,1439.51,Expense
2020-07-22,Drinks at local pub,Food & Drink,1786.39,Expense
2020-07-22,Shoes from Nike Store,Shopping,495.53,Expense
2020-07-05,General travel transaction,Travel,1337.12,Expense
2020-07-02,Spotify Premium subscription,Entertainment,734.8,Expense
2020-07-12,Concert tickets - Drake,Entertainment,1027.24,Expense
2020-07-11,General travel transaction,Travel,580.96,Expense
2020-07-17,General health & fitness transaction,Health & Fitness,195.84,Expense
2020-07-13,Electricity bill - Hydro One,Utilities,1321.11,Expense
2020-07-28,General health & fitness transaction,Health & Fitness,1900.58,Expense
2020-07-24,Paycheck from Amazon,Salary,109.93,Expense
2020-07-31,General travel transaction,Travel,1506.04,Expense
2020-07-12,General health & fitness transaction,Health & Fitness,935.33,Expense
2020-07-30,Mobile phone plan - Bell Canada,Utilities,1489.87,Expense
2020-07-06,General travel transaction,Travel,1113.28,Expense
2020-07-23,Housing rental fee,Rent,1559.06,Expense
2020-07-08,General travel transaction,Travel,818.09,Expense
2020-07-04,Monthly rent payment to landlord,Rent,1442.31,Expense
2020-08-17,Electronics from Best Buy,Shopping,1187.87,Expense
2020-08-06,Electronics from Best Buy,Shopping,959.19,Expense
2020-08-09,Concert tickets - Drake,Entertainment,981.58,Expense
2020-08-31,General health & fitness transaction,Health & Fitness,343.9,Expense
2020-08-27,Brunch at The Smith,Food & Drink,1899.73,Expense
2020-08-04,Electronics from Best Buy,Shopping,133.91,Expense
2020-08-18,Monthly rent payment to landlord,Rent,1289.07,Expense
2020-08-02,General health & fitness transaction,Health & Fitness,1787.12,Expense
2020-08-13,Wages from Apple Inc.,Salary,67.76,Expense
2020-08-29,Wages from Apple Inc.,Salary,1342.22,Expense
2020-08-22,Dinner at Carbone (fine dining),Food & Drink,1999.82,Expense
2020-08-05,Shoes from Nike Store,Shopping,1810.63,Expense
2020-08-01,General travel transaction,Travel,1533.97,Expense
2020-08-22,General travel transaction,Travel,1671.47,Expense
2020-08-30,Movie night at Cineplex,Entertainment,935.42,Expense
2020-08-08,Electronics from Best Buy,Shopping,1081.06,Expense
2020-08-21,General travel transaction,Travel,1506.5,Expense
2020-08-14,Amazon purchase,Shopping,1451.12,Expense
2020-08-05,Grocery run at Whole Foods,Food & Drink,1714.9,Expense
2020-08-16,Mobile phone plan - Bell Canada,Utilities,1961.64,Expense
2020-09-27,Monthly salary - Google,Salary,1114.8,Expense
2020-09-22,Monthly salary - Google,Salary,1144.0,Expense
2020-09-27,General travel transaction,Travel,1116.02,Expense
2020-09-08,Netflix subscription,Entertainment,212.78,Expense
2020-09-16,Grocery run at Whole Foods,Food & Drink,1700.66,Expense
2020-09-23,Internet bill - Rogers,Utilities,980.22,Expense
2020-09-06,Shoes from Nike Store,Shopping,799.34,Expense
2020-09-22,Condo rent transfer,Rent,565.07,Expense
2020-09-01,Apartment lease payment,Rent,1557.81,Expense
2020-09-23,General health & fitness transaction,Health & Fitness,67.11,Expense
2020-09-07,Condo rent transfer,Rent,1188.27,Expense
2020-09-17,Monthly rent payment to landlord,Rent,872.71,Expense
2020-09-11,Condo rent transfer,Rent,1594.49,Expense
2020-09-29,Direct deposit - Microsoft,Salary,1295.35,Expense
2020-09-25,General travel transaction,Travel,687.27,Expense
2020-09-11,General health & fitness transaction,Health & Fitness,147.22,Expense
2020-09-17,Paycheck from Amazon,Salary,1417.54,Expense
2020-09-18,General travel transaction,Travel,1235.67,Expense
2020-09-05,General travel transaction,Travel,1155.84,Expense
2020-09-11,Brunch at The Smith,Food & Drink,700.94,Expense
2020-10-07,General travel transaction,Travel,510.29,Expense
2020-10-08,General travel transaction,Travel,1961.22,Expense
2020-10-08,Wages from Apple Inc.,Salary,560.23,Expense
2020-10-12,Water services - City of Toronto,Utilities,1279.36,Expense
2020-10-29,Electricity bill - Hydro One,Utilities,15.32,Expense
2020-10-19,General travel transaction,Travel,179.51,Expense
2020-10-26,Freelance payment - Upwork,Salary,601.73,Expense
2020-10-10,General travel transaction,Travel,462.69,Expense
2020-10-30,Freelance payment - Upwork,Salary,589.61,Expense
2020-10-24,Netflix subscription,Entertainment,1553.63,Expense
2020-10-15,Direct deposit - Microsoft,Salary,962.64,Expense
2020-10-27,Amazon purchase,Shopping,617.71,Expense
2020-10-03,Paycheck from Amazon,Salary,1111.41,Expense
2020-10-27,Spotify Premium subscription,Entertainment,536.65,Expense
2020-10-14,Monthly rent payment to landlord,Rent,1746.71,Expense
2020-10-16,Apartment lease payment,Rent,1646.01,Expense
2020-10-01,Netflix subscription,Entertainment,619.35,Expense
2020-10-27,Apartment lease payment,Rent,1895.7,Expense
2020-10-04,General health & fitness transaction,Health & Fitness,710.1,Expense
2020-10-23,Electronics from Best Buy,Shopping,1216.57,Expense
2020-11-04,Condo rent transfer,Rent,128.68,Expense
2020-11-01,Spotify Premium subscription,Entertainment,1848.58,Expense
2020-11-07,General travel transaction,Travel,1402.47,Expense
2020-11-25,Direct deposit - Microsoft,Salary,251.64,Expense
2020-11-15,General travel transaction,Travel,1328.54,Expense
2020-11-01,Broadway show tickets,Entertainment,856.03,Expense
2020-11-16,Takeout from Shake Shack,Food & Drink,915.1,Expense
2020-11-14,Amazon purchase,Shopping,673.28,Expense
2020-11-23,Movie night at Cineplex,Entertainment,541.44,Expense
2020-11-14,Electricity bill - Hydro One,Utilities,946.3,Expense
2020-11-14,Wages from Apple Inc.,Salary,1938.42,Expense
2020-11-16,General health & fitness transaction,Health & Fitness,240.68,Expense
2020-11-26,Netflix subscription,Entertainment,1422.47,Expense
2020-11-12,General travel transaction,Travel,1156.73,Expense
2020-11-06,General travel transaction,Travel,883.92,Expense
2020-11-27,Takeout from Shake Shack,Food & Drink,1108.98,Expense
2020-11-10,Grocery run at Whole Foods,Food & Drink,191.74,Expense
2020-11-29,Electricity bill - Hydro One,Utilities,1001.77,Expense
2020-11-02,Mobile phone plan - Bell Canada,Utilities,1817.74,Expense
2020-11-20,Clothing at Zara,Shopping,117.87,Expense
2020-12-06,Electricity bill - Hydro One,Utilities,1729.41,Expense
2020-12-23,Housing rental fee,Rent,1705.01,Expense
2020-12-14,Electronics from Best Buy,Shopping,916.14,Expense
2020-12-11,General travel transaction,Travel,1676.58,Expense
2020-12-30,Home goods at IKEA,Shopping,1956.89,Expense
2020-12-23,General travel transaction,Travel,683.74,Expense
2020-12-18,Water services - City of Toronto,Utilities,995.7,Expense
2020-12-05,Amazon purchase,Shopping,389.31,Expense
2020-12-24,Shoes from Nike Store,Shopping,1908.74,Expense
2020-12-28,General travel transaction,Travel,1994.88,Expense
2020-12-10,Home goods at IKEA,Shopping,686.35,Expense
2020-12-16,Amazon purchase,Shopping,778.3,Expense
2020-12-20,Dinner at Carbone (fine dining),Food & Drink,1447.66,Expense
2020-12-20,Direct deposit - Microsoft,Salary,208.43,Expense
2020-12-14,Spotify Premium subscription,Entertainment,1961.74,Expense
2020-12-13,Freelance payment - Upwork,Salary,696.8,Expense
2020-12-25,Paycheck from Amazon,Salary,1746.04,Expense
2020-12-12,Wages from Apple Inc.,Salary,1731.87,Expense
2020-12-05,Wages from Apple Inc.,Salary,495.02,Expense
2020-12-01,General travel transaction,Travel,836.83,Expense
2021-01-27,General health & fitness transaction,Health & Fitness,1066.4,Expense
2021-01-11,Paycheck from Amazon,Salary,518.1,Expense
2021-01-14,General travel transaction,Travel,919.1,Expense
2021-01-15,General travel transaction,Travel,53.66,Expense
2021-01-17,Coffee at Starbucks,Food & Drink,1822.13,Expense
2021-01-06,General travel transaction,Travel,723.34,Expense
2021-01-10,Mobile phone plan - Bell Canada,Utilities,472.06,Expense
2021-01-06,Netflix subscription,Entertainment,1067.02,Expense
2021-01-27,Water services - City of Toronto,Utilities,409.58,Expense
2021-01-01,Grocery run at Whole Foods,Food & Drink,101.52,Expense
2021-01-08,Mobile phone plan - Bell Canada,Utilities,348.27,Expense
2021-01-19,General travel transaction,Travel,1553.72,Expense
2021-01-14,Shoes from Nike Store,Shopping,1708.14,Expense
2021-01-13,General travel transaction,Travel,1281.49,Expense
2021-01-29,Electricity bill - Hydro One,Utilities,521.37,Expense
2021-01-13,Water services - City of Toronto,Utilities,156.99,Expense
2021-01-17,Shoes from Nike Store,Shopping,556.22,Expense
2021-01-27,General health & fitness transaction,Health & Fitness,1467.4,Expense
2021-01-26,Coffee at Starbucks,Food & Drink,624.78,Expense
2021-01-20,General health & fitness transaction,Health & Fitness,445.82,Expense
2021-02-28,General health & fitness transaction,Health & Fitness,442.37,Expense
2021-02-23,Electronics from Best Buy,Shopping,1178.81,Expense
2021-02-05,Monthly rent payment to landlord,Rent,290.11,Expense
2021-02-09,General travel transaction,Travel,1077.78,Expense
2021-02-02,Paycheck from Amazon,Salary,1935.09,Expense
2021-02-18,General travel transaction,Travel,1301.99,Expense
2021-02-11,Brunch at The Smith,Food & Drink,1242.9,Expense
2021-02-08,Amazon purchase,Shopping,1934.87,Expense
2021-02-05,General health & fitness transaction,Health & Fitness,1610.42,Expense
2021-02-11,General health & fitness transaction,Health & Fitness,225.61,Expense
2021-02-24,Amazon purchase,Shopping,1313.29,Expense
2021-02-21,Water services - City of Toronto,Utilities,783.41,Expense
2021-02-09,General travel transaction,Travel,1173.27,Expense
2021-02-27,Clothing at Zara,Shopping,1878.72,Expense
2021-02-16,Condo rent transfer,Rent,1274.45,Expense
2021-02-20,Monthly salary - Google,Salary,241.08,Expense
2021-02-13,General health & fitness transaction,Health & Fitness,1831.36,Expense
2021-02-08,General health & fitness transaction,Health & Fitness,189.7,Expense
2021-03-22,General travel transaction,Travel,912.89,Expense
2021-03-10,Gas bill - Enbridge,Utilities,228.75,Expense
2021-03-21,Paycheck from Amazon,Salary,156.25,Expense
2021-03-09,Gas bill - Enbridge,Utilities,1975.18,Expense
2021-03-07,Electricity bill - Hydro One,Utilities,1576.09,Expense
2021-03-29,Apartment lease payment,Rent,869.43,Expense
2021-03-07,Netflix subscription,Entertainment,1176.9,Expense
2021-03-08,Concert tickets - Drake,Entertainment,663.83,Expense
2021-03-27,General health & fitness transaction,Health & Fitness,1907.65,Expense
2021-03-05,Apartment lease payment,Rent,1328.91,Expense
2021-03-18,General travel transaction,Travel,921.5,Expense
2021-03-17,General health & fitness transaction,Health & Fitness,1031.34,Expense
2021-03-23,Apartment lease payment,Rent,1588.26,Expense
2021-03-28,Freelance payment - Upwork,Salary,143.6,Expense
2021-03-25,Electronics from Best Buy,Shopping,837.82,Expense
2021-03-19,Dinner at Carbone (fine dining),Food & Drink,1997.19,Expense
2021-03-20,Shoes from Nike Store,Shopping,1375.33,Expense
2021-03-24,Movie night at Cineplex,Entertainment,833.49,Expense
2021-03-02,Concert tickets - Drake,Entertainment,1712.35,Expense
2021-03-04,Condo rent transfer,Rent,1898.53,Expense
2021-04-27,Concert tickets - Drake,Entertainment,796.57,Expense
2021-04-21,Amazon purchase,Shopping,976.47,Expense
2021-04-18,Lunch at Chipotle,Food & Drink,192.6,Expense
2021-04-12,Internet bill - Rogers,Utilities,1741.03,Expense
2021-04-27,Electricity bill - Hydro One,Utilities,1530.68,Expense
2021-04-23,General travel transaction,Travel,438.98,Expense
2021-04-13,Electronics from Best Buy,Shopping,148.47,Expense
2021-04-03,Housing rental fee,Rent,706.73,Expense
2021-04-11,General travel transaction,Travel,67.62,Expense
2021-04-11,General travel transaction,Travel,1843.86,Expense
2021-04-09,Lunch at Chipotle,Food & Drink,1221.9,Expense
2021-04-19,Shoes from Nike Store,Shopping,845.47,Expense
2021-04-23,General health & fitness transaction,Health & Fitness,865.53,Expense
2021-04-24,Freelance payment - Upwork,Salary,1058.6,Expense
2021-04-19,General health & fitness transaction,Health & Fitness,630.16,Expense
2021-04-30,Apartment lease payment,Rent,25.38,Expense
2021-04-01,General health & fitness transaction,Health & Fitness,1343.33,Expense
2021-04-19,Housing rental fee,Rent,1767.85,Expense
2021-04-02,Electronics from Best Buy,Shopping,1737.5,Expense
2021-04-27,Grocery run at Whole Foods,Food & Drink,416.8,Expense
2021-05-14,General health & fitness transaction,Health & Fitness,450.93,Expense
2021-05-23,Monthly salary - Google,Salary,933.27,Expense
2021-05-10,Water services - City of Toronto,Utilities,1604.63,Expense
2021-05-31,Spotify Premium subscription,Entertainment,649.84,Expense
2021-05-07,Condo rent transfer,Rent,1725.6,Expense
2021-05-04,Broadway show tickets,Entertainment,1005.52,Expense
2021-05-24,Internet bill - Rogers,Utilities,885.13,Expense
2021-05-22,Condo rent transfer,Rent,362.52,Expense
2021-05-24,Wages from Apple Inc.,Salary,1365.46,Expense
2021-05-27,General travel transaction,Travel,162.69,Expense
2021-05-11,General health & fitness transaction,Health & Fitness,185.38,Expense
2021-05-30,Wages from Apple Inc.,Salary,1164.86,Expense
2021-05-12,Housing rental fee,Rent,797.58,Expense
2021-05-06,Lunch at Chipotle,Food & Drink,878.08,Expense
2021-05-04,General health & fitness transaction,Health & Fitness,153.43,Expense
2021-05-11,Movie night at Cineplex,Entertainment,877.0,Expense
2021-05-25,General health & fitness transaction,Health & Fitness,1019.6,Expense
2021-05-24,General health & fitness transaction,Health & Fitness,1729.85,Expense
2021-05-07,Housing rental fee,Rent,816.01,Expense
2021-05-27,Monthly salary - Google,Salary,84.84,Expense
2021-06-09,Takeout from Shake Shack,Food & Drink,1580.56,Expense
2021-06-06,Mobile phone plan - Bell Canada,Utilities,734.16,Expense
2021-06-24,Movie night at Cineplex,Entertainment,690.05,Expense
2021-06-20,Housing rental fee,Rent,626.07,Expense
2021-06-26,Netflix subscription,Entertainment,460.82,Expense
2021-06-28,Condo rent transfer,Rent,1020.3,Expense
2021-06-06,Wages from Apple Inc.,Salary,1982.06,Expense
2021-06-28,Internet bill - Rogers,Utilities,1198.52,Expense
2021-06-02,General health & fitness transaction,Health & Fitness,1964.95,Expense
2021-06-11,Condo rent transfer,Rent,666.08,Expense
2021-06-22,Housing rental fee,Rent,1295.59,Expense
2021-06-11,Electronics from Best Buy,Shopping,575.45,Expense
2021-06-23,General health & fitness transaction,Health & Fitness,46.28,Expense
2021-06-15,Electricity bill - Hydro One,Utilities,1834.33,Expense
2021-06-06,Home goods at IKEA,Shopping,823.45,Expense
2021-06-28,Brunch at The Smith,Food & Drink,1327.24,Expense
2021-06-16,Electronics from Best Buy,Shopping,266.61,Expense
2021-06-02,Internet bill - Rogers,Utilities,1915.87,Expense
2021-06-29,Lunch at Chipotle,Food & Drink,827.61,Expense
2021-06-14,Electricity bill - Hydro One,Utilities,673.39,Expense
2021-07-24,Condo rent transfer,Rent,47.82,Expense
2021-07-04,Monthly salary - Google,Salary,1808.91,Expense
2021-07-10,Condo rent transfer,Rent,1425.69,Expense
2021-07-19,Gas bill - Enbridge,Utilities,283.82,Expense
2021-07-12,Monthly salary - Google,Salary,1770.41,Expense
2021-07-19,Apartment lease payment,Rent,1679.96,Expense
2021-07-07,Clothing at Zara,Shopping,1010.78,Expense
2021-07-23,Direct deposit - Microsoft,Salary,1395.18,Expense
2021-07-04,Wages from Apple Inc.,Salary,475.67,Expense
2021-07-13,Electronics from Best Buy,Shopping,115.98,Expense
2021-07-14,Spotify Premium subscription,Entertainment,778.47,Expense
2021-07-09,Mobile phone plan - Bell Canada,Utilities,1747.27,Expense
2021-07-11,Shoes from Nike Store,Shopping,192.51,Expense
2021-07-11,Condo rent transfer,Rent,577.28,Expense
2021-07-29,Home goods at IKEA,Shopping,231.26,Expense
2021-07-04,Spotify Premium subscription,Entertainment,1939.48,Expense
2021-07-09,Electricity bill - Hydro One,Utilities,1635.61,Expense
2021-07-11,General travel transaction,Travel,904.15,Expense
2021-07-28,Electricity bill - Hydro One,Utilities,1102.12,Expense
2021-08-27,Netflix subscription,Entertainment,579.36,Expense
2021-08-29,Coffee at Starbucks,Food & Drink,1732.94,Expense
2021-08-22,Monthly salary - Google,Salary,83.6,Expense
2021-08-07,Monthly salary - Google,Salary,1197.51,Expense
2021-08-13,Amazon purchase,Shopping,1962.27,Expense
2021-08-21,Internet bill - Rogers,Utilities,135.57,Expense
2021-08-18,General health & fitness transaction,Health & Fitness,275.49,Expense
2021-08-11,General health & fitness transaction,Health & Fitness,144.68,Expense
2021-08-08,Takeout from Shake Shack,Food & Drink,1233.47,Expense
2021-08-20,General health & fitness transaction,Health & Fitness,1628.88,Expense
2021-08-15,Coffee at Starbucks,Food & Drink,720.62,Expense
2021-08-09,Amazon purchase,Shopping,382.75,Expense
2021-08-06,Paycheck from Amazon,Salary,134.99,Expense
2021-08-24,General travel transaction,Travel,1035.61,Expense
2021-08-13,Lunch at Chipotle,Food & Drink,787.0,Expense
2021-08-25,Freelance payment - Upwork,Salary,514.09,Expense
2021-08-23,Spotify Premium subscription,Entertainment,1772.72,Expense
2021-08-02,General travel transaction,Travel,252.48,Expense
2021-09-09,General travel transaction,Travel,1604.28,Expense
2021-09-11,Wages from Apple Inc.,Salary,709.58,Expense
2021-09-19,Electricity bill - Hydro One,Utilities,1063.63,Expense
2021-09-11,Gas bill - Enbridge,Utilities,1095.49,Expense
2021-09-06,Amazon purchase,Shopping,1489.18,Expense
2021-09-11,Monthly rent payment to landlord,Rent,662.56,Expense
2021-09-16,Brunch at The Smith,Food & Drink,159.33,Expense
2021-09-17,Electricity bill - Hydro One,Utilities,1906.05,Expense
2021-09-10,Condo rent transfer,Rent,866.91,Expense
2021-09-20,General travel transaction,Travel,506.73,Expense
2021-09-09,Home goods at IKEA,Shopping,684.68,Expense
2021-09-16,General health & fitness transaction,Health & Fitness,1031.04,Expense
2021-09-05,Monthly rent payment to landlord,Rent,1600.69,Expense
2021-09-28,Housing rental fee,Rent,530.94,Expense
2021-09-19,Takeout from Shake Shack,Food & Drink,1214.14,Expense
2021-09-11,Monthly salary - Google,Salary,1209.22,Expense
2021-09-19,General health & fitness transaction,Health & Fitness,750.31,Expense
2021-10-13,General health & fitness transaction,Health & Fitness,1339.0,Expense
2021-10-24,Electricity bill - Hydro One,Utilities,1227.78,Expense
2021-10-27,Direct deposit - Microsoft,Salary,1056.13,Expense
2021-10-13,General travel transaction,Travel,1783.75,Expense
2021-10-30,Apartment lease payment,Rent,905.45,Expense
2021-10-21,Netflix subscription,Entertainment,1582.84,Expense
2021-10-16,Water services - City of Toronto,Utilities,1589.46,Expense
2021-10-20,Housing rental fee,Rent,1970.41,Expense
2021-10-07,Freelance payment - Upwork,Salary,408.35,Expense
2021-10-01,Direct deposit - Microsoft,Salary,437.0,Expense
2021-10-27,Housing rental fee,Rent,259.4,Expense
2021-11-27,General health & fitness transaction,Health & Fitness,1950.99,Expense
2021-11-10,General travel transaction,Travel,259.09,Expense
2021-11-19,Electronics from Best Buy,Shopping,1240.04,Expense
2021-11-18,Drinks at local pub,Food & Drink,171.63,Expense
2021-11-06,Broadway show tickets,Entertainment,698.59,Expense
2021-11-26,Mobile phone plan - Bell Canada,Utilities,632.04,Expense
2021-11-03,General health & fitness transaction,Health & Fitness,265.39,Expense
2021-11-04,Mobile phone plan - Bell Canada,Utilities,1537.89,Expense
2021-11-23,Freelance payment - Upwork,Salary,934.24,Expense
2021-11-15,Monthly rent payment to landlord,Rent,1010.12,Expense
2021-11-18,General travel transaction,Travel,1305.75,Expense
2021-11-17,General health & fitness transaction,Health & Fitness,1686.63,Expense
2021-11-21,Shoes from Nike Store,Shopping,601.89,Expense
2021-11-07,General travel transaction,Travel,1693.41,Expense
2021-11-05,General travel transaction,Travel,337.67,Expense
2021-12-26,General health & fitness transaction,Health & Fitness,1512.38,Expense
2021-12-23,Monthly rent payment to landlord,Rent,266.04,Expense
2021-12-03,Home goods at IKEA,Shopping,504.06,Expense
2021-12-13,Direct deposit - Microsoft,Salary,578.64,Expense
2021-12-20,General travel transaction,Travel,1652.37,Expense
2021-12-13,General health & fitness transaction,Health & Fitness,106.83,Expense
2021-12-09,General health & fitness transaction,Health & Fitness,387.77,Expense
2021-12-16,General health & fitness transaction,Health & Fitness,100.03,Expense
2021-12-01,General health & fitness transaction,Health & Fitness,491.06,Expense
2021-12-12,Direct deposit - Microsoft,Salary,1933.71,Expense
2021-12-20,Apartment lease payment,Rent,778.83,Expense
2021-12-08,Electricity bill - Hydro One,Utilities,1628.82,Expense
2021-12-11,Freelance payment - Upwork,Salary,56.12,Expense
2022-01-18,Takeout from Shake Shack,Food & Drink,1414.49,Expense
2022-01-13,Water services - City of Toronto,Utilities,1053.22,Expense
2022-01-16,Mobile phone plan - Bell Canada,Utilities,831.79,Expense
2022-01-18,Paycheck from Amazon,Salary,1746.91,Expense
2022-01-05,Dinner at Carbone (fine dining),Food & Drink,743.03,Expense
2022-01-01,Wages from Apple Inc.,Salary,1043.47,Expense
2022-01-09,Broadway show tickets,Entertainment,1445.59,Expense
2022-01-14,Drinks at local pub,Food & Drink,1149.41,Expense
2022-01-21,General health & fitness transaction,Health & Fitness,1996.26,Expense
2022-01-04,Wages from Apple Inc.,Salary,1420.39,Expense
2022-01-13,Electronics from Best Buy,Shopping,304.07,Expense
2022-01-06,Clothing at Zara,Shopping,1171.57,Expense
2022-01-21,Amazon purchase,Shopping,634.37,Expense
2022-01-03,General health & fitness transaction,Health & Fitness,333.38,Expense
2022-01-08,Lunch at Chipotle,Food & Drink,1197.85,Expense
2022-01-28,Movie night at Cineplex,Entertainment,1883.56,Expense
2022-01-23,General travel transaction,Travel,1224.05,Expense
2022-01-03,General travel transaction,Travel,1191.51,Expense
2022-01-16,Concert tickets - Drake,Entertainment,47.69,Expense
2022-02-17,Brunch at The Smith,Food & Drink,1816.79,Expense
2022-02-06,General health & fitness transaction,Health & Fitness,1909.67,Expense
